Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4
20	2	5 6 7	dms	fix(0.00,0.00)	pic(rad47.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)
21	2	6 7	dms	fix(0.00,0.00)	pic(cir69.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)
22	2	6 7	dms	fix(0.00,0.00)	pic(cir69.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)
23	2	6 7	dms	fix(0.00,0.00)	pic(rad69.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)
24	2	6 7	dms	fix(0.00,0.00)	pic(rad69.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)
25	2	7	dms	fix(0.00,0.00)	pic(cir120.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)
26	2	7	dms	fix(0.00,0.00)	pic(cir120.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)
27	2	7	dms	fix(0.00,0.00)	pic(rad120.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)
28	2	7	dms	fix(0.00,0.00)	pic(rad120.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)
29	2	1 2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir0.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)
30	2	1 2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir0.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)
31	2	1 2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad0.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)
32	2	1 2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad0.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)
33	2	2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir6.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)
34	2	2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir6.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)
35	2	2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad6.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)
