Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11
21	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim201.png,0.00,0.00,288.31,288.31)	pic(stim202.png,0.00,0.00,288.31,288.31)	pic(stim203.png,0.00,0.00,288.31,288.31)	pic(stim204.png,0.00,0.00,288.31,288.31)	pic(stim205.png,0.00,0.00,288.31,288.31)	pic(stim206.png,0.00,0.00,288.31,288.31)	pic(stim207.png,0.00,0.00,288.31,288.31)	pic(stim208.png,0.00,0.00,288.31,288.31)	pic(stim209.png,0.00,0.00,288.31,288.31)	pic(stim210.png,0.00,0.00,288.31,288.31)
22	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim211.png,0.00,0.00,288.31,288.31)	pic(stim212.png,0.00,0.00,288.31,288.31)	pic(stim213.png,0.00,0.00,288.31,288.31)	pic(stim214.png,0.00,0.00,288.31,288.31)	pic(stim215.png,0.00,0.00,288.31,288.31)	pic(stim216.png,0.00,0.00,288.31,288.31)	pic(stim217.png,0.00,0.00,288.31,288.31)	pic(stim218.png,0.00,0.00,288.31,288.31)	pic(stim219.png,0.00,0.00,288.31,288.31)	pic(stim220.png,0.00,0.00,288.31,288.31)
23	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim221.png,0.00,0.00,288.31,288.31)	pic(stim222.png,0.00,0.00,288.31,288.31)	pic(stim223.png,0.00,0.00,288.31,288.31)	pic(stim224.png,0.00,0.00,288.31,288.31)	pic(stim225.png,0.00,0.00,288.31,288.31)	pic(stim226.png,0.00,0.00,288.31,288.31)	pic(stim227.png,0.00,0.00,288.31,288.31)	pic(stim228.png,0.00,0.00,288.31,288.31)	pic(stim229.png,0.00,0.00,288.31,288.31)	pic(stim230.png,0.00,0.00,288.31,288.31)
24	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim231.png,0.00,0.00,288.31,288.31)	pic(stim232.png,0.00,0.00,288.31,288.31)	pic(stim233.png,0.00,0.00,288.31,288.31)	pic(stim234.png,0.00,0.00,288.31,288.31)	pic(stim235.png,0.00,0.00,288.31,288.31)	pic(stim236.png,0.00,0.00,288.31,288.31)	pic(stim237.png,0.00,0.00,288.31,288.31)	pic(stim238.png,0.00,0.00,288.31,288.31)	pic(stim239.png,0.00,0.00,288.31,288.31)	pic(stim240.png,0.00,0.00,288.31,288.31)
25	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim241.png,0.00,0.00,288.31,288.31)	pic(stim242.png,0.00,0.00,288.31,288.31)	pic(stim243.png,0.00,0.00,288.31,288.31)	pic(stim244.png,0.00,0.00,288.31,288.31)	pic(stim245.png,0.00,0.00,288.31,288.31)	pic(stim246.png,0.00,0.00,288.31,288.31)	pic(stim247.png,0.00,0.00,288.31,288.31)	pic(stim248.png,0.00,0.00,288.31,288.31)	pic(stim249.png,0.00,0.00,288.31,288.31)	pic(stim250.png,0.00,0.00,288.31,288.31)
26	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim251.png,0.00,0.00,288.31,288.31)	pic(stim252.png,0.00,0.00,288.31,288.31)	pic(stim253.png,0.00,0.00,288.31,288.31)	pic(stim254.png,0.00,0.00,288.31,288.31)	pic(stim255.png,0.00,0.00,288.31,288.31)	pic(stim256.png,0.00,0.00,288.31,288.31)	pic(stim257.png,0.00,0.00,288.31,288.31)	pic(stim258.png,0.00,0.00,288.31,288.31)	pic(stim259.png,0.00,0.00,288.31,288.31)	pic(stim260.png,0.00,0.00,288.31,288.31)
27	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim261.png,0.00,0.00,288.31,288.31)	pic(stim262.png,0.00,0.00,288.31,288.31)	pic(stim263.png,0.00,0.00,288.31,288.31)	pic(stim264.png,0.00,0.00,288.31,288.31)	pic(stim265.png,0.00,0.00,288.31,288.31)	pic(stim266.png,0.00,0.00,288.31,288.31)	pic(stim267.png,0.00,0.00,288.31,288.31)	pic(stim268.png,0.00,0.00,288.31,288.31)	pic(stim269.png,0.00,0.00,288.31,288.31)	pic(stim270.png,0.00,0.00,288.31,288.31)
28	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim271.png,0.00,0.00,288.31,288.31)	pic(stim272.png,0.00,0.00,288.31,288.31)	pic(stim273.png,0.00,0.00,288.31,288.31)	pic(stim274.png,0.00,0.00,288.31,288.31)	pic(stim275.png,0.00,0.00,288.31,288.31)	pic(stim276.png,0.00,0.00,288.31,288.31)	pic(stim277.png,0.00,0.00,288.31,288.31)	pic(stim278.png,0.00,0.00,288.31,288.31)	pic(stim279.png,0.00,0.00,288.31,288.31)	pic(stim280.png,0.00,0.00,288.31,288.31)
29	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim281.png,0.00,0.00,288.31,288.31)	pic(stim282.png,0.00,0.00,288.31,288.31)	pic(stim283.png,0.00,0.00,288.31,288.31)	pic(stim284.png,0.00,0.00,288.31,288.31)	pic(stim285.png,0.00,0.00,288.31,288.31)	pic(stim286.png,0.00,0.00,288.31,288.31)	pic(stim287.png,0.00,0.00,288.31,288.31)	pic(stim288.png,0.00,0.00,288.31,288.31)	pic(stim289.png,0.00,0.00,288.31,288.31)	pic(stim290.png,0.00,0.00,288.31,288.31)
30	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim291.png,0.00,0.00,288.31,288.31)	pic(stim292.png,0.00,0.00,288.31,288.31)	pic(stim293.png,0.00,0.00,288.31,288.31)	pic(stim294.png,0.00,0.00,288.31,288.31)	pic(stim295.png,0.00,0.00,288.31,288.31)	pic(stim296.png,0.00,0.00,288.31,288.31)	pic(stim297.png,0.00,0.00,288.31,288.31)	pic(stim298.png,0.00,0.00,288.31,288.31)	pic(stim299.png,0.00,0.00,288.31,288.31)	pic(stim300.png,0.00,0.00,288.31,288.31)
31	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim301.png,0.00,0.00,288.31,288.31)	pic(stim302.png,0.00,0.00,288.31,288.31)	pic(stim303.png,0.00,0.00,288.31,288.31)	pic(stim304.png,0.00,0.00,288.31,288.31)	pic(stim305.png,0.00,0.00,288.31,288.31)	pic(stim306.png,0.00,0.00,288.31,288.31)	pic(stim307.png,0.00,0.00,288.31,288.31)	pic(stim308.png,0.00,0.00,288.31,288.31)	pic(stim309.png,0.00,0.00,288.31,288.31)	pic(stim310.png,0.00,0.00,288.31,288.31)
32	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim311.png,0.00,0.00,288.31,288.31)	pic(stim312.png,0.00,0.00,288.31,288.31)	pic(stim313.png,0.00,0.00,288.31,288.31)	pic(stim314.png,0.00,0.00,288.31,288.31)	pic(stim315.png,0.00,0.00,288.31,288.31)	pic(stim316.png,0.00,0.00,288.31,288.31)	pic(stim317.png,0.00,0.00,288.31,288.31)	pic(stim318.png,0.00,0.00,288.31,288.31)	pic(stim319.png,0.00,0.00,288.31,288.31)	pic(stim320.png,0.00,0.00,288.31,288.31)
33	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim321.png,0.00,0.00,288.31,288.31)	pic(stim322.png,0.00,0.00,288.31,288.31)	pic(stim323.png,0.00,0.00,288.31,288.31)	pic(stim324.png,0.00,0.00,288.31,288.31)	pic(stim325.png,0.00,0.00,288.31,288.31)	pic(stim326.png,0.00,0.00,288.31,288.31)	pic(stim327.png,0.00,0.00,288.31,288.31)	pic(stim328.png,0.00,0.00,288.31,288.31)	pic(stim329.png,0.00,0.00,288.31,288.31)	pic(stim330.png,0.00,0.00,288.31,288.31)
