Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2
99	1	36	stimulus_show1img	fix(0.00,0.00)	pic(stim099.png,-2.00,-2.00,576.62,576.62)
100	1	37	stimulus_show1img	fix(0.00,0.00)	pic(stim100.png,-2.00,-2.00,576.62,576.62)
101	1	38	stimulus_show1img	fix(0.00,0.00)	pic(stim101.png,-2.00,-2.00,576.62,576.62)
102	1	39	stimulus_show1img	fix(0.00,0.00)	pic(stim102.png,-2.00,-2.00,576.62,576.62)
103	1	40	stimulus_show1img	fix(0.00,0.00)	pic(stim103.png,-2.00,-2.00,576.62,576.62)
104	1	41	stimulus_show1img	fix(0.00,0.00)	pic(stim104.png,-2.00,-2.00,576.62,576.62)
105	1	42	stimulus_show1img	fix(0.00,0.00)	pic(stim105.png,-2.00,-2.00,576.62,576.62)
106	1	43	stimulus_show1img	fix(0.00,0.00)	pic(stim106.png,-2.00,-2.00,576.62,576.62)
107	1	44	stimulus_show1img	fix(0.00,0.00)	pic(stim107.png,-2.00,-2.00,576.62,576.62)
108	1	45	stimulus_show1img	fix(0.00,0.00)	pic(stim108.png,-2.00,-2.00,576.62,576.62)
109	1	46	stimulus_show1img	fix(0.00,0.00)	pic(stim109.png,-2.00,-2.00,576.62,576.62)
110	1	47	stimulus_show1img	fix(0.00,0.00)	pic(stim110.png,-2.00,-2.00,576.62,576.62)
111	1	48	stimulus_show1img	fix(0.00,0.00)	pic(stim111.png,-2.00,-2.00,576.62,576.62)
112	1	49	stimulus_show1img	fix(0.00,0.00)	pic(stim112.png,-2.00,-2.00,576.62,576.62)
113	1	50	stimulus_show1img	fix(0.00,0.00)	pic(stim113.png,-2.00,-2.00,576.62,576.62)
114	1	51	stimulus_show1img	fix(0.00,0.00)	pic(stim114.png,-2.00,-2.00,576.62,576.62)
115	1	52	stimulus_show1img	fix(0.00,0.00)	pic(stim115.png,-2.00,-2.00,576.62,576.62)
116	1	53	stimulus_show1img	fix(0.00,0.00)	pic(stim116.png,-2.00,-2.00,576.62,576.62)
117	1	54	stimulus_show1img	fix(0.00,0.00)	pic(stim117.png,-2.00,-2.00,576.62,576.62)
118	1	55	stimulus_show1img	fix(0.00,0.00)	pic(stim118.png,-2.00,-2.00,576.62,576.62)
119	1	56	stimulus_show1img	fix(0.00,0.00)	pic(stim119.png,-2.00,-2.00,576.62,576.62)
120	1	57	stimulus_show1img	fix(0.00,0.00)	pic(stim120.png,-2.00,-2.00,576.62,576.62)
121	1	58	stimulus_show1img	fix(0.00,0.00)	pic(stim121.png,-2.00,-2.00,576.62,576.62)
122	1	59	stimulus_show1img	fix(0.00,0.00)	pic(stim122.png,-2.00,-2.00,576.62,576.62)
123	1	60	stimulus_show1img	fix(0.00,0.00)	pic(stim123.png,-2.00,-2.00,576.62,576.62)
124	1	61	stimulus_show1img	fix(0.00,0.00)	pic(stim124.png,-2.00,-2.00,576.62,576.62)
125	1	62	stimulus_show1img	fix(0.00,0.00)	pic(stim125.png,-2.00,-2.00,576.62,576.62)
126	1	63	stimulus_show1img	fix(0.00,0.00)	pic(stim126.png,-2.00,-2.00,576.62,576.62)
127	1	64	stimulus_show1img	fix(0.00,0.00)	pic(stim127.png,-2.00,-2.00,576.62,576.62)
128	1	1	stimulus_show1img	fix(0.00,0.00)	pic(stim128.png,-2.00,-2.00,576.62,576.62)
129	1	2	stimulus_show1img	fix(0.00,0.00)	pic(stim129.png,-2.00,-2.00,576.62,576.62)
130	1	3	stimulus_show1img	fix(0.00,0.00)	pic(stim130.png,-2.00,-2.00,576.62,576.62)
131	1	4	stimulus_show1img	fix(0.00,0.00)	pic(stim131.png,-2.00,-2.00,576.62,576.62)
132	1	5	stimulus_show1img	fix(0.00,0.00)	pic(stim132.png,-2.00,-2.00,576.62,576.62)
133	1	6	stimulus_show1img	fix(0.00,0.00)	pic(stim133.png,-2.00,-2.00,576.62,576.62)
134	1	7	stimulus_show1img	fix(0.00,0.00)	pic(stim134.png,-2.00,-2.00,576.62,576.62)
135	1	8	stimulus_show1img	fix(0.00,0.00)	pic(stim135.png,-2.00,-2.00,576.62,576.62)
136	1	9	stimulus_show1img	fix(0.00,0.00)	pic(stim136.png,-2.00,-2.00,576.62,576.62)
137	1	10	stimulus_show1img	fix(0.00,0.00)	pic(stim137.png,-2.00,-2.00,576.62,576.62)
138	1	11	stimulus_show1img	fix(0.00,0.00)	pic(stim138.png,-2.00,-2.00,576.62,576.62)
139	1	12	stimulus_show1img	fix(0.00,0.00)	pic(stim139.png,-2.00,-2.00,576.62,576.62)
140	1	13	stimulus_show1img	fix(0.00,0.00)	pic(stim140.png,-2.00,-2.00,576.62,576.62)
141	1	14	stimulus_show1img	fix(0.00,0.00)	pic(stim141.png,-2.00,-2.00,576.62,576.62)
142	1	15	stimulus_show1img	fix(0.00,0.00)	pic(stim142.png,-2.00,-2.00,576.62,576.62)
143	1	16	stimulus_show1img	fix(0.00,0.00)	pic(stim143.png,-2.00,-2.00,576.62,576.62)
144	1	17	stimulus_show1img	fix(0.00,0.00)	pic(stim144.png,-2.00,-2.00,576.62,576.62)
145	1	18	stimulus_show1img	fix(0.00,0.00)	pic(stim145.png,-2.00,-2.00,576.62,576.62)
146	1	19	stimulus_show1img	fix(0.00,0.00)	pic(stim146.png,-2.00,-2.00,576.62,576.62)
147	1	20	stimulus_show1img	fix(0.00,0.00)	pic(stim147.png,-2.00,-2.00,576.62,576.62)
148	1	21	stimulus_show1img	fix(0.00,0.00)	pic(stim148.png,-2.00,-2.00,576.62,576.62)
149	1	22	stimulus_show1img	fix(0.00,0.00)	pic(stim149.png,-2.00,-2.00,576.62,576.62)
150	1	23	stimulus_show1img	fix(0.00,0.00)	pic(stim150.png,-2.00,-2.00,576.62,576.62)
151	1	24	stimulus_show1img	fix(0.00,0.00)	pic(stim151.png,-2.00,-2.00,576.62,576.62)
152	1	25	stimulus_show1img	fix(0.00,0.00)	pic(stim152.png,-2.00,-2.00,576.62,576.62)
153	1	26	stimulus_show1img	fix(0.00,0.00)	pic(stim153.png,-2.00,-2.00,576.62,576.62)
154	1	27	stimulus_show1img	fix(0.00,0.00)	pic(stim154.png,-2.00,-2.00,576.62,576.62)
155	1	28	stimulus_show1img	fix(0.00,0.00)	pic(stim155.png,-2.00,-2.00,576.62,576.62)
156	1	29	stimulus_show1img	fix(0.00,0.00)	pic(stim156.png,-2.00,-2.00,576.62,576.62)
157	1	30	stimulus_show1img	fix(0.00,0.00)	pic(stim157.png,-2.00,-2.00,576.62,576.62)
158	1	31	stimulus_show1img	fix(0.00,0.00)	pic(stim158.png,-2.00,-2.00,576.62,576.62)
159	1	32	stimulus_show1img	fix(0.00,0.00)	pic(stim159.png,-2.00,-2.00,576.62,576.62)
160	1	33	stimulus_show1img	fix(0.00,0.00)	pic(stim160.png,-2.00,-2.00,576.62,576.62)
161	1	34	stimulus_show1img	fix(0.00,0.00)	pic(stim161.png,-2.00,-2.00,576.62,576.62)
162	1	35	stimulus_show1img	fix(0.00,0.00)	pic(stim162.png,-2.00,-2.00,576.62,576.62)
163	1	36	stimulus_show1img	fix(0.00,0.00)	pic(stim163.png,-2.00,-2.00,576.62,576.62)
164	1	37	stimulus_show1img	fix(0.00,0.00)	pic(stim164.png,-2.00,-2.00,576.62,576.62)
165	1	38	stimulus_show1img	fix(0.00,0.00)	pic(stim165.png,-2.00,-2.00,576.62,576.62)
166	1	39	stimulus_show1img	fix(0.00,0.00)	pic(stim166.png,-2.00,-2.00,576.62,576.62)
167	1	40	stimulus_show1img	fix(0.00,0.00)	pic(stim167.png,-2.00,-2.00,576.62,576.62)
168	1	41	stimulus_show1img	fix(0.00,0.00)	pic(stim168.png,-2.00,-2.00,576.62,576.62)
169	1	42	stimulus_show1img	fix(0.00,0.00)	pic(stim169.png,-2.00,-2.00,576.62,576.62)
170	1	43	stimulus_show1img	fix(0.00,0.00)	pic(stim170.png,-2.00,-2.00,576.62,576.62)
171	1	44	stimulus_show1img	fix(0.00,0.00)	pic(stim171.png,-2.00,-2.00,576.62,576.62)
172	1	45	stimulus_show1img	fix(0.00,0.00)	pic(stim172.png,-2.00,-2.00,576.62,576.62)
173	1	46	stimulus_show1img	fix(0.00,0.00)	pic(stim173.png,-2.00,-2.00,576.62,576.62)
174	1	47	stimulus_show1img	fix(0.00,0.00)	pic(stim174.png,-2.00,-2.00,576.62,576.62)
175	1	48	stimulus_show1img	fix(0.00,0.00)	pic(stim175.png,-2.00,-2.00,576.62,576.62)
176	1	49	stimulus_show1img	fix(0.00,0.00)	pic(stim176.png,-2.00,-2.00,576.62,576.62)
177	1	50	stimulus_show1img	fix(0.00,0.00)	pic(stim177.png,-2.00,-2.00,576.62,576.62)
178	1	51	stimulus_show1img	fix(0.00,0.00)	pic(stim178.png,-2.00,-2.00,576.62,576.62)
179	1	52	stimulus_show1img	fix(0.00,0.00)	pic(stim179.png,-2.00,-2.00,576.62,576.62)
180	1	53	stimulus_show1img	fix(0.00,0.00)	pic(stim180.png,-2.00,-2.00,576.62,576.62)
181	1	54	stimulus_show1img	fix(0.00,0.00)	pic(stim181.png,-2.00,-2.00,576.62,576.62)
182	1	55	stimulus_show1img	fix(0.00,0.00)	pic(stim182.png,-2.00,-2.00,576.62,576.62)
183	1	56	stimulus_show1img	fix(0.00,0.00)	pic(stim183.png,-2.00,-2.00,576.62,576.62)
184	1	57	stimulus_show1img	fix(0.00,0.00)	pic(stim184.png,-2.00,-2.00,576.62,576.62)
185	1	58	stimulus_show1img	fix(0.00,0.00)	pic(stim185.png,-2.00,-2.00,576.62,576.62)
186	1	59	stimulus_show1img	fix(0.00,0.00)	pic(stim186.png,-2.00,-2.00,576.62,576.62)
187	1	60	stimulus_show1img	fix(0.00,0.00)	pic(stim187.png,-2.00,-2.00,576.62,576.62)
188	1	61	stimulus_show1img	fix(0.00,0.00)	pic(stim188.png,-2.00,-2.00,576.62,576.62)
189	1	62	stimulus_show1img	fix(0.00,0.00)	pic(stim189.png,-2.00,-2.00,576.62,576.62)
190	1	63	stimulus_show1img	fix(0.00,0.00)	pic(stim190.png,-2.00,-2.00,576.62,576.62)
191	1	64	stimulus_show1img	fix(0.00,0.00)	pic(stim191.png,-2.00,-2.00,576.62,576.62)
192	1	1	stimulus_show1img	fix(0.00,0.00)	pic(stim192.png,-2.00,-2.00,576.62,576.62)
193	1	2	stimulus_show1img	fix(0.00,0.00)	pic(stim193.png,-2.00,-2.00,576.62,576.62)
194	1	3	stimulus_show1img	fix(0.00,0.00)	pic(stim194.png,-2.00,-2.00,576.62,576.62)
195	1	4	stimulus_show1img	fix(0.00,0.00)	pic(stim195.png,-2.00,-2.00,576.62,576.62)
196	1	5	stimulus_show1img	fix(0.00,0.00)	pic(stim196.png,-2.00,-2.00,576.62,576.62)
197	1	6	stimulus_show1img	fix(0.00,0.00)	pic(stim197.png,-2.00,-2.00,576.62,576.62)
198	1	7	stimulus_show1img	fix(0.00,0.00)	pic(stim198.png,-2.00,-2.00,576.62,576.62)
199	1	8	stimulus_show1img	fix(0.00,0.00)	pic(stim199.png,-2.00,-2.00,576.62,576.62)
200	1	9	stimulus_show1img	fix(0.00,0.00)	pic(stim200.png,-2.00,-2.00,576.62,576.62)
201	1	10	stimulus_show1img	fix(0.00,0.00)	pic(stim201.png,-2.00,-2.00,576.62,576.62)
202	1	11	stimulus_show1img	fix(0.00,0.00)	pic(stim202.png,-2.00,-2.00,576.62,576.62)
203	1	12	stimulus_show1img	fix(0.00,0.00)	pic(stim203.png,-2.00,-2.00,576.62,576.62)
204	1	13	stimulus_show1img	fix(0.00,0.00)	pic(stim204.png,-2.00,-2.00,576.62,576.62)
